Entity,Sector ,Subsector
Chorus One,Core Protocol Architecture,Validators & Staking Providers
P2P.org,Core Protocol Architecture,Validators & Staking Providers
Blockdaemon,Core Protocol Architecture,Validators & Staking Providers
Coinbase (Validator Operations),Core Protocol Architecture,Validators & Staking Providers
Kraken (Validator Operations),Core Protocol Architecture,Validators & Staking Providers
Binance (Validator Operations),Core Protocol Architecture,Validators & Staking Providers
Lido (Node Operator Set),Core Protocol Architecture,Validators & Staking Providers
Rocket Pool (Node Operators),Core Protocol Architecture,Validators & Staking Providers
StakeWise (Operator Infrastructure),Core Protocol Architecture,Validators & Staking Providers
Solo Validators,Core Protocol Architecture,Validators & Staking Providers
Flashbots (Block Builder),Core Protocol Architecture,MEV & Block Builders
Titan Builder,Core Protocol Architecture,MEV & Block Builders
bloXroute (Block Builder),Core Protocol Architecture,MEV & Block Builders
rsync-builder,Core Protocol Architecture,MEV & Block Builders
Flashbots Relay,Core Protocol Architecture,MEV & Block Builders
bloXroute Relay,Core Protocol Architecture,MEV & Block Builders
Ultra Sound Relay,Core Protocol Architecture,MEV & Block Builders
Eden Relay,Core Protocol Architecture,MEV & Block Builders
Flashbots (Searcher Infrastructure),Core Protocol Architecture,MEV & Block Builders
bloXroute (Searcher-Builder Pipeline),Core Protocol Architecture,MEV & Block Builders
Eden Network (Searcher Infrastructure),Core Protocol Architecture,MEV & Block Builders
Builder-Native Searcher Pipelines (Aggregated),Core Protocol Architecture,MEV & Block Builders
Flashbots (Integrated Stack),Core Protocol Architecture,MEV & Block Builders
bloXroute (Integrated MEV Stack),Core Protocol Architecture,MEV & Block Builders
Eden Network (Integrated MEV Stack),Core Protocol Architecture,MEV & Block Builders
Builder-Relay Integrated Operators (Aggregated),Core Protocol Architecture,MEV & Block Builders
London,Core Protocol Architecture,Network Upgrades
The Merge,Core Protocol Architecture,Network Upgrades
Shanghai / Capella (Shapella),Core Protocol Architecture,Network Upgrades
Dencun,Core Protocol Architecture,Network Upgrades
Pectra,Core Protocol Architecture,Network Upgrades
Fusaka,Core Protocol Architecture,Network Upgrades
Glamsterdam (Planned),Core Protocol Architecture,Network Upgrades
Arbitrum,Rollup & Scaling Frameworks,Optimistic Rollups
Optimism,Rollup & Scaling Frameworks,Optimistic Rollups
Base,Rollup & Scaling Frameworks,Optimistic Rollups
Blast,Rollup & Scaling Frameworks,Optimistic Rollups
Unichain,Rollup & Scaling Frameworks,Optimistic Rollups
OP Stack (Framework),Rollup & Scaling Frameworks,Optimistic Rollups
Arbitrum Nitro (Framework),Rollup & Scaling Frameworks,Optimistic Rollups
zkSync,Rollup & Scaling Frameworks,ZK Rollup
Starknet,Rollup & Scaling Frameworks,ZK Rollup
Scroll,Rollup & Scaling Frameworks,ZK Rollup
Polygon zkEVM,Rollup & Scaling Frameworks,ZK Rollup
Linea,Rollup & Scaling Frameworks,ZK Rollup
Taiko,Rollup & Scaling Frameworks,ZK Rollup
ZK Stack,Rollup & Scaling Frameworks,ZK Rollup
StarkEx (borderline but architecturally critical),Rollup & Scaling Frameworks,ZK Rollup
Arbitrum Orbit,Rollup & Scaling Frameworks,L3 & Appchain Frameworks
"OP Stack (already used, but also belongs here contextually)",Rollup & Scaling Frameworks,L3 & Appchain Frameworks
ZK Stack,Rollup & Scaling Frameworks,L3 & Appchain Frameworks
Polygon CDK,Rollup & Scaling Frameworks,L3 & Appchain Frameworks
Avalanche HyperSDK (Ethereum-anchored variants only),Rollup & Scaling Frameworks,L3 & Appchain Frameworks
Caldera,Rollup & Scaling Frameworks,L3 & Appchain Frameworks
Conduit,Rollup & Scaling Frameworks,L3 & Appchain Frameworks
"StarkEx
(Validium + ZK Rollup modes; application-specific)",Rollup & Scaling Frameworks,"Validiums, Volitions, and Hybrid Rollups"
"ZK Stack
(Rollup vs Validium selectable at deployment)",Rollup & Scaling Frameworks,"Validiums, Volitions, and Hybrid Rollups"
"Polygon CDK
(Supports zkEVM rollups + validium-style chains)",Rollup & Scaling Frameworks,"Validiums, Volitions, and Hybrid Rollups"
"zkSync Era
(Implements Volition-style DA choice in practice)",Rollup & Scaling Frameworks,"Validiums, Volitions, and Hybrid Rollups"
"Immutable X
(Production NFT validium using StarkEx)",Rollup & Scaling Frameworks,"Validiums, Volitions, and Hybrid Rollups"
"dYdX (historical Ethereum-anchored version)
(Ethereum / StarkEx era) (High-performance validium design; DA committee model)",Rollup & Scaling Frameworks,"Validiums, Volitions, and Hybrid Rollups"
Tether,Monetary & Access Rails,Centralized Stablecoins
USD Coin,Monetary & Access Rails,Centralized Stablecoins
Pax Dollar,Monetary & Access Rails,Centralized Stablecoins
PayPal USD,Monetary & Access Rails,Centralized Stablecoins
First Digital USD,Monetary & Access Rails,Centralized Stablecoins
Stably USD,Monetary & Access Rails,Centralized Stablecoins
EUR CoinVertible,Monetary & Access Rails,Centralized Stablecoins
Monerium E-Money Tokens,Monetary & Access Rails,Centralized Stablecoins
XSGD,Monetary & Access Rails,Centralized Stablecoins
Dai,Monetary & Access Rails,Decentralized Stablecoins
Liquity USD,Monetary & Access Rails,Decentralized Stablecoins
Rai Reflex Index,Monetary & Access Rails,Decentralized Stablecoins
Frax,Monetary & Access Rails,Decentralized Stablecoins
agEUR,Monetary & Access Rails,Decentralized Stablecoins
Synthetix USD,Monetary & Access Rails,Synthetic & Yield-Bearing Dollars
Ondo Short-Term U.S. Government Bond Fund,Monetary & Access Rails,Synthetic & Yield-Bearing Dollars
Ondo U.S. Dollar Yield,Monetary & Access Rails,Synthetic & Yield-Bearing Dollars
Savings Dai,Monetary & Access Rails,Synthetic & Yield-Bearing Dollars
Ethena Dollar,Monetary & Access Rails,Synthetic & Yield-Bearing Dollars
MoonPay,Monetary & Access Rails,Global On-Ramps
Ramp,Monetary & Access Rails,Global On-Ramps
Transak,Monetary & Access Rails,Global On-Ramps
Banxa,Monetary & Access Rails,Global On-Ramps
Simplex,Monetary & Access Rails,Global On-Ramps
Mercuryo,Monetary & Access Rails,Global On-Ramps
Onramper,Monetary & Access Rails,Global On-Ramps
Coinbase (Coinbase Pay / On-Ramp APIs),Monetary & Access Rails,Global On-Ramps
Binance (Binance On-Ramp),Monetary & Access Rails,Global On-Ramps
OKX (OKX On-Ramp),Monetary & Access Rails,Global On-Ramps
MetaMask (MetaMask Buy),Monetary & Access Rails,Global On-Ramps
Trust Wallet (Integrated Global On-Ramps),Monetary & Access Rails,Global On-Ramps
PayPal (Crypto On-Ramp),Monetary & Access Rails,Global On-Ramps
Stripe (Crypto On-Ramp APIs),Monetary & Access Rails,Global On-Ramps
Sardine,Monetary & Access Rails,Global On-Ramps
Alchemy Pay,Monetary & Access Rails,Global On-Ramps
Socket (Fiat → Chain Routing),Monetary & Access Rails,Global On-Ramps
Circle (Circle Payments / Circle APIs),Monetary & Access Rails,Institutional Payment Rails
Tether (Institutional Settlement on Ethereum),Monetary & Access Rails,Institutional Payment Rails
Paxos (Enterprise Settlement / PYUSD Infrastructure),Monetary & Access Rails,Institutional Payment Rails
Société Générale – Forge (EURCV Settlement),Monetary & Access Rails,Institutional Payment Rails
JPMorgan Kinexys (formerly JPM Coin),Monetary & Access Rails,Institutional Payment Rails
UBS (Tokenized Deposits & Ethereum-Based Pilots),Monetary & Access Rails,Institutional Payment Rails
Standard Chartered (Tokenized Deposits & Ethereum-Based Settlement Initiatives),Monetary & Access Rails,Institutional Payment Rails
Deutsche Bank (Tokenized Deposits & Ethereum-Based Settlement Initiatives),Monetary & Access Rails,Institutional Payment Rails
Fireblocks Payments,Monetary & Access Rails,Institutional Payment Rails
Copper (ClearLoop Settlement Infrastructure),Monetary & Access Rails,Institutional Payment Rails
Anchorage Digital,Monetary & Access Rails,Institutional Payment Rails
ConsenSys (Codefi Payments / Enterprise Settlement Tooling),Monetary & Access Rails,Institutional Payment Rails
R3 (Ethereum Interoperability for Settlement),Monetary & Access Rails,Institutional Payment Rails
Hyperledger Besu (Enterprise Ethereum Settlement Stacks),Monetary & Access Rails,Institutional Payment Rails
Stripe (Stablecoin-Based Settlement for Platforms),Monetary & Access Rails,Institutional Payment Rails
"PayPal (Enterprise Crypto Settlement, PYUSD)",Monetary & Access Rails,Institutional Payment Rails
Airwallex (Stablecoin Settlement Pilots),Monetary & Access Rails,Institutional Payment Rails
European Central Bank (Ethereum-Linked Wholesale Settlement Pilots),Monetary & Access Rails,Institutional Payment Rails
"Bank for International Settlements (Project Agorá, Project Mariana)",Monetary & Access Rails,Institutional Payment Rails
Bitso,Monetary & Access Rails,Regional Payment Networks
Belo,Monetary & Access Rails,Regional Payment Networks
Ripio,Monetary & Access Rails,Regional Payment Networks
Buenbit,Monetary & Access Rails,Regional Payment Networks
MonetaGo,Monetary & Access Rails,Regional Payment Networks
Yellow Card,Monetary & Access Rails,Regional Payment Networks
Flutterwave,Monetary & Access Rails,Regional Payment Networks
PayDay,Monetary & Access Rails,Regional Payment Networks
Chipper,Monetary & Access Rails,Regional Payment Networks
Kotani Pay,Monetary & Access Rails,Regional Payment Networks
Hubpay,Monetary & Access Rails,Regional Payment Networks
eFinance,Monetary & Access Rails,Regional Payment Networks
Bitybank,Monetary & Access Rails,Regional Payment Networks
Xendit,Monetary & Access Rails,Regional Payment Networks
Coins.ph,Monetary & Access Rails,Regional Payment Networks
Tranglo,Monetary & Access Rails,Regional Payment Networks
GCash,Monetary & Access Rails,Regional Payment Networks
Monerium,Monetary & Access Rails,Regional Payment Networks
Quantoz,Monetary & Access Rails,Regional Payment Networks
Stasis,Monetary & Access Rails,Regional Payment Networks
MoneyGram,Monetary & Access Rails,Regional Payment Networks
Strike,Monetary & Access Rails,Regional Payment Networks
